id,CAR_MAKE,CAR_MODEL,CAR_MODEL_YEAR
1,Infiniti,I,2000
2,Chevrolet,Cobalt SS,2009
3,Land Rover,Range Rover,1986
4,Acura,TSX,2004
5,Infiniti,QX,2011
6,GMC,2500,1994
7,Isuzu,Oasis,1996
8,GMC,Sierra,2011
9,Toyota,Sequoia,2009
10,Jaguar,X-Type,2003
11,Volkswagen,Eurovan,2003
12,Subaru,Tribeca,2006
13,Mazda,Miata MX-5,2010
14,Infiniti,J,1995
15,Mercury,Villager,1999
16,Hyundai,Equus,2012
17,Jeep,Liberty,2010
18,Lotus,Esprit,1992
19,BMW,M6,2010
20,Ford,Windstar,2001
21,Suzuki,SJ 410,1986
22,Ford,Escort,1996
23,Ferrari,F430,2006
24,Jaguar,X-Type,2007
25,Chrysler,Town & Country,2007
26,Ford,Th!nk,2001
27,Audi,Cabriolet,1996
28,Saab,9-3,2003
29,Toyota,Camry,2009
30,Lexus,GX,2009
31,Chevrolet,Malibu,2002
32,Toyota,Tacoma,2004
33,Nissan,Altima,1994
34,Ford,Courier,1986
35,Lincoln,Town Car,2003
36,Buick,LeSabre,1993
37,Oldsmobile,Silhouette,1997
38,Chevrolet,Corvette,1987
39,BMW,5 Series,1994
40,Audi,A5,2008
41,Mazda,B-Series,2002
42,Chevrolet,Prizm,1999
43,Buick,Century,1987
44,Jaguar,XK Series,2005
45,Ford,Falcon,1966
46,Lincoln,Town Car,1984
47,Saturn,Ion,2007
48,Mazda,Mazda3,2012
49,Pontiac,Gemini,1989
50,Lotus,Elan,1993
51,Kia,Sephia,1994
52,GMC,Sierra 1500,2001
53,Pontiac,Sunbird,1986
54,Pontiac,Firebird,1991
55,Chevrolet,Suburban 1500,2010
56,Ford,Bronco,1992
57,Volkswagen,Golf,2010
58,Nissan,370Z,2012
59,Hyundai,Elantra,2002
60,Volkswagen,Touareg,2012
61,Infiniti,QX,2002
62,Lexus,ES,2000
63,Ford,Thunderbird,1994
64,Mitsubishi,GTO,1998
65,Lincoln,Navigator,2006
66,Mazda,Mazda6,2011
67,Lexus,GS,2003
68,Toyota,Previa,1995
69,Chevrolet,Malibu Maxx,2006
70,Mazda,626,2000
71,Mazda,Miata MX-5,2005
72,Audi,200,1991
73,Ford,E250,2003
74,Ford,E150,2007
75,Toyota,Celica,2005
76,GMC,Sierra,2009
77,Ford,F250,2012
78,Porsche,Cayenne,2004
79,Oldsmobile,Bravada,1993
80,Toyota,Camry Hybrid,2012
81,Land Rover,Range Rover Sport,2011
82,Chevrolet,Avalanche,2002
83,BMW,3 Series,2005
84,Lexus,CT,2012
85,Volkswagen,Quantum,1984
86,Mercedes-Benz,SLK-Class,2005
87,Mercedes-Benz,G-Class,2008
88,Infiniti,Q,1992
89,Lincoln,MKT,2011
90,Chevrolet,Malibu,1998
91,Porsche,911,1990
92,Jaguar,XJ Series,2002
93,Dodge,Viper,2002
94,Volvo,V70,2010
95,Suzuki,Kizashi,2010
96,GMC,Jimmy,1992
97,Chevrolet,G-Series G20,1993
98,Daewoo,Leganza,2001
99,Oldsmobile,Bravada,1999
100,Chevrolet,Corvette,1965
101,GMC,Yukon XL 2500,2003
102,Toyota,Avalon,2001
103,Pontiac,Grand Prix,1966
104,Mercedes-Benz,CLS-Class,2008
105,Ford,Windstar,1997
106,GMC,Sonoma,1994
107,Buick,Century,2001
108,Pontiac,1000,1985
109,Lexus,IS,2012
110,Mercedes-Benz,E-Class,1992
111,Toyota,Celica,1983
112,Land Rover,Discovery,2007
113,Lexus,GS,1995
114,Chrysler,300,2010
115,Volvo,S70,1999
116,Lexus,LS,2011
117,GMC,1500 Club Coupe,1994
118,Suzuki,Grand Vitara,2007
119,Mercedes-Benz,C-Class,1993
120,GMC,Vandura 3500,1992
121,Ford,Thunderbird,1983
122,Lexus,HS,2012
123,Mercury,Grand Marquis,2010
124,Audi,Quattro,1994
125,Toyota,Prius Plug-in,2012
