id,CITY,SPOT_LAT,SPOT_LON,ADDRESS,SPEED_LIMIT
1,Xinglong,40.417358,117.500558,5 Arapahoe Hill,60
2,Farsta,59.2348351,18.100292,3 Manufacturers Pass,120
3,Chandra,-12.2001475,44.4665485,8 3rd Place,100
4,Witihama,-8.2837447,123.2812562,13022 Golf View Park,90
5,Almaty,43.2220146,76.8512485,82 Logan Crossing,60
6,Yoshkar-Ola,56.6332138,47.9021415,985 Rutledge Park,90
7,Monroe,32.53,-92.08,63327 Cascade Road,80
8,Peixing,37.0030288,119.9026703,75741 Golden Leaf Parkway,110
9,Konza,-1.7775816,37.1097748,497 Dawn Alley,80
10,Huata,-9.0166555,-77.8724575,522 John Wall Street,100
11,Gading,-6.1604549,106.9054618,9 Harbort Lane,110
12,London,42.9598744,-81.2353612,8 Mccormick Junction,120
13,Tabora,-5.0424945,32.8197329,3 Scofield Street,80
14,Valle de Ángeles,14.160407,-87.0399404,9025 Moose Pass,100
15,Lantian,34.151624,109.323479,59 Manley Place,110
16,Gamut,9.000538,126.159227,6 Valley Edge Park,100
17,Siyabuswa,-26.5325948,29.0706468,956 Loftsgordon Parkway,70
18,Saumur,47.2623398,-0.1393138,2 Anderson Plaza,100
19,Sholokhove,47.692143,34.0079801,5726 Lyons Terrace,80
20,Karagach,43.8051322,43.7759042,2915 Linden Place,120
21,Issy-les-Moulineaux,48.8373554,2.2682399,576 Russell Point,100
22,Guaíba,-30.1090924,-51.3238273,18 Dahle Road,70
23,Semerak,-6.576574,111.0683954,11 Corscot Place,110
24,Karema,-6.81357,30.4326,990 Crowley Road,90
25,Shigongqiao,29.182182,111.869272,12 Gateway Hill,70
26,Bratislava,48.1997412,16.983641,995 Lake View Court,110
27,Lenger,42.1811386,69.8824972,06686 Stoughton Way,110
28,Grodków,50.69625,17.38516,649 Fuller Trail,100
29,Duyanggang,38.453095,114.600138,5 Cody Plaza,70
30,Shunhe,34.800458,114.364875,62597 Westridge Way,100
31,Zhongling,28.435584,116.483259,7032 Stoughton Crossing,90
32,Haizhouwobao,42.93823,123.37082,61924 Sachtjen Center,110
33,Barretos,-20.5558832,-48.5762695,5668 Spenser Crossing,90
34,Meringkik,-8.8165,116.5307,871 Roxbury Point,70
35,Matangshan,31.361491,119.150254,8 Gale Alley,70
36,Zopilotepe,14.5544751,-86.2901225,9 Porter Pass,110
37,Jarada,-6.9095295,107.5764046,069 American Avenue,90
38,Tarakan,3.3273599,117.5785049,1 Stoughton Street,100
39,Jovellar,13.0730815,123.5982956,27100 Mayfield Court,70
40,Iwo,7.6292088,4.1872178,10711 Oneill Alley,110
41,Krutinka,56.0058358,71.5005566,79527 Daystar Trail,100
42,Vespasiano,-19.7333431,-43.9341408,0930 Twin Pines Way,70
43,Mberubu,6.3324473,7.605638,649 Parkside Place,90
44,Cherga,51.568154,85.555473,7605 Mcbride Junction,80
45,Sao Hai,14.5807588,100.8338593,17 Sage Terrace,90
46,Nackawic,45.9891389,-67.2412221,950 Express Parkway,100
47,Bielice,53.2001742,14.7571949,4972 Arkansas Point,70
48,La Esperanza,35.0880511,-106.6873356,27 Mesta Parkway,70
49,Bislig,8.1890712,126.3547613,73 Stuart Lane,120
50,Xilian,29.673196,110.73404,9 Onsgard Drive,100
51,Tsybli,49.9958981,31.5594099,9055 Cardinal Pass,110
52,Licun,38.197478,114.335324,478 Mockingbird Junction,110
53,San Jorge,11.4522433,-85.8050987,4 Vernon Lane,80
54,Tucuran,7.8518373,123.5810068,48739 Corry Junction,90
55,Puyehue,-40.6607937,-72.6131562,6886 Atwood Lane,90
56,Bia?obrzegi,50.1063169,22.3570583,6 Hallows Lane,100
57,Yermolino,55.2259313,36.6083916,4 Monument Street,60
58,Bebekan,-7.3440367,112.7010599,6 Logan Drive,120
59,Kalahang,-6.3077304,106.1831224,7 Lien Road,90
60,Seria,4.6101062,114.3311718,8 Oriole Avenue,90
61,Kuantan,3.9671435,103.40391,6 Valley Edge Center,70
62,Leer,8.296968,30.1531568,5132 Katie Park,90
63,Ribeira,40.2974812,-8.1955122,3 Mcguire Junction,80
64,Ðà L?t,11.9404192,108.4583132,0126 Sunnyside Park,80
65,Wulipu,32.7074464,108.9391253,51314 Arrowood Way,110
66,?i?evac,43.7212584,21.4436651,0679 Northridge Pass,80
67,São Filipe,14.8951679,-24.4945636,403 Melby Alley,110
68,Maluanluan,13.1317415,121.435112,2 Bellgrove Hill,90
69,Yandian,35.563819,116.651828,256 Sommers Way,110
70,Damietta,31.4175388,31.8144434,33974 Luster Hill,70
71,San Antonio,14.5508865,121.0075554,6565 Mayer Place,70
72,Cibinong,-6.4901067,106.8306951,5133 Dakota Parkway,80
73,Repelón,10.5646285,-75.1232201,44948 Talmadge Court,90
74,Yauca,-15.67164,-74.536774,5009 Stoughton Drive,70
75,Oesao,-10.0999445,123.8132141,2714 Jackson Court,110
76,Bo Phloi,14.3059024,99.4783816,1 Elgar Center,80
77,Épinal,48.1967872,6.4788333,13 Lillian Drive,80
78,Qorovulbozor Shahri,39.50308,64.81142,5 Clemons Crossing,90
79,Fortuna,10.5943971,-85.2017554,827 Continental Crossing,90
80,??ng ?a,21.0180725,105.8299495,972 Manley Drive,100
81,Kitakami,37.8098511,139.1200637,02128 Buhler Road,90
82,Namalenga,-6.7748883,39.2693652,79 Towne Plaza,110
83,Penápolis,-21.4152377,-50.0773225,60049 Bay Street,80
84,Skopin,53.8257473,39.556825,5 Kipling Street,60
85,Haradzishcha,53.3269782,26.0063137,66560 Dixon Street,110
86,Poykovskiy,60.994897,71.8982957,3942 Paget Circle,60
87,Ereira,39.1762837,-8.8661993,998 Briar Crest Road,70
88,Tuanjie,25.456453,103.240546,42443 Buhler Street,80
89,Vukovar,45.3876043,18.8966831,330 Pleasure Terrace,80
90,Marseille,43.7441795,2.511999,39 Melrose Parkway,100
91,Tuqiao,39.871981,116.686439,33728 Morningstar Center,80
92,Jiamaogong,35.095709,103.043929,05 Clarendon Junction,120
93,Lewoluo,-6.2038486,106.8190806,4 Farmco Lane,110
94,Mondragon,12.4035699,124.7689819,00 Di Loreto Drive,70
95,Avanca,40.8024339,-8.5959634,23 David Place,110
96,Zhanghua,37.029718,116.328206,0097 Chive Pass,80
97,Yangxi,21.752396,111.617849,5 Mayfield Center,90
98,Pitkyaranta,61.5715454,31.4869341,963 Fairview Pass,70
99,Royan,45.5733817,-0.4198187,39490 Larry Avenue,120
100,Lutory?,50.0028883,21.8964008,513 Buell Avenue,100
101,Freire,-38.9573,-72.6269289,70 Jay Parkway,100
102,Pare,-7.765512,112.197899,6920 Union Circle,110
103,Tingzhou,30.274084,120.15507,6 Farragut Way,70
104,Machang,23.051645,113.581789,6719 1st Circle,60
105,Hecheng,27.578926,110.040315,9 Golf View Parkway,100
106,Panadtaban,9.9152376,123.9321966,9105 Bellgrove Plaza,110
107,Qui Nhon,13.7829673,109.2196634,571 Old Gate Center,110
